parent_name,parent_entity_id,parent_entity_type,parent_lei,parent_permid,parent_registration_country,parent_headquarter_country,overall_share_percent,ownership_path,ownership_path_datasource_ids,immediate_source_owner,immediate_source_owner_entity_id,source_operator,source_operator_id,source_id,source_name,source_sector,source_subsector
,,,,,,,,,,,,SpiceJet,E100002014928,40682055,Ayodhya Airport,transportation,domestic-aviation
,,,,,,,,,,,,Zooom,E100002019112,40682055,Ayodhya Airport,transportation,domestic-aviation
,,,,,,,,,,,,flybig,E100002014579,40682063,Azamgarh Airport,transportation,domestic-aviation
,,,,,,,,,,,,Air India,E100002014292,3172078,Bagdogra Airport,transportation,domestic-aviation
,,,,,,,,,,,,Air India Express,E100002014293,3172078,Bagdogra Airport,transportation,domestic-aviation
,,,,,,,,,,,,Akasa Air,E100002014348,3172078,Bagdogra Airport,transportation,domestic-aviation
,,,,,,,,,,,,IndiGo,E100002014647,3172078,Bagdogra Airport,transportation,domestic-aviation
,,,,,,,,,,,,Royal Bhutan Airlines,E100002014850,3172078,Bagdogra Airport,transportation,domestic-aviation
,,,,,,,,,,,,SpiceJet,E100002014928,3172078,Bagdogra Airport,transportation,domestic-aviation
,,,,,,,,,,,,Vistara,E100002015043,3172078,Bagdogra Airport,transportation,domestic-aviation
,,,,,,,,,,,,Alliance Air,E100002014360,3170645,Bareilly Air Force Station,transportation,domestic-aviation
,,,,,,,,,,,,IndiGo,E100002014647,3170645,Bareilly Air Force Station,transportation,domestic-aviation
,,,,,,,,,,,,IndiGo,E100002014647,3172082,Belagavi Airport,transportation,domestic-aviation
,,,,,,,,,,,,Star Air,E100002014935,3172082,Belagavi Airport,transportation,domestic-aviation
,,,,,,,,,,,,Alliance Air,E100002014360,3170858,Bhatinda Air Force Station,transportation,domestic-aviation
,,,,,,,,,,,,flybig,E100002014579,3170858,Bhatinda Air Force Station,transportation,domestic-aviation
,,,,,,,,,,,,SpiceJet,E100002014928,3170692,Bhavnagar Airport,transportation,domestic-aviation
,,,,,,,,,,,,Air India,E100002014292,3170685,Bhuj Airport,transportation,domestic-aviation
,,,,,,,,,,,,Alliance Air,E100002014360,3170685,Bhuj Airport,transportation,domestic-aviation
,,,,,,,,,,,,Star Air,E100002014935,3170685,Bhuj Airport,transportation,domestic-aviation
,,,,,,,,,,,,Star Air,E100002014935,3172094,Bidar Airport / Bidar Air Force Station,transportation,domestic-aviation
,,,,,,,,,,,,Air India,E100002014292,3170612,Biju Patnaik International Airport,transportation,domestic-aviation
,,,,,,,,,,,,Air India Express,E100002014293,3170612,Biju Patnaik International Airport,transportation,domestic-aviation
,,,,,,,,,,,,Akasa Air,E100002014348,3170612,Biju Patnaik International Airport,transportation,domestic-aviation
,,,,,,,,,,,,Alliance Air,E100002014360,3170612,Biju Patnaik International Airport,transportation,domestic-aviation
,,,,,,,,,,,,IndiGo,E100002014647,3170612,Biju Patnaik International Airport,transportation,domestic-aviation
,,,,,,,,,,,,IndiaOne Air,E100002019142,3170612,Biju Patnaik International Airport,transportation,domestic-aviation
,,,,,,,,,,,,SpiceJet,E100002014928,3170612,Biju Patnaik International Airport,transportation,domestic-aviation
,,,,,,,,,,,,Vistara,E100002015043,3170612,Biju Patnaik International Airport,transportation,domestic-aviation
,,,,,,,,,,,,Alliance Air,E100002014360,3173419,Bilaspur Airport,transportation,domestic-aviation
,,,,,,,,,,,,Air India,E100002014292,3172089,Birsa Munda Airport,transportation,domestic-aviation
,,,,,,,,,,,,Air India Express,E100002014293,3172089,Birsa Munda Airport,transportation,domestic-aviation
,,,,,,,,,,,,IndiGo,E100002014647,3172089,Birsa Munda Airport,transportation,domestic-aviation
,,,,,,,,,,,,Vistara,E100002015043,3172089,Birsa Munda Airport,transportation,domestic-aviation
,,,,,,,,,,,,Air India,E100002014292,3170950,Calicut International Airport,transportation,domestic-aviation
,,,,,,,,,,,,Air India Express,E100002014293,3170950,Calicut International Airport,transportation,domestic-aviation
,,,,,,,,,,,,IndiGo,E100002014647,3170950,Calicut International Airport,transportation,domestic-aviation
,,,,,,,,,,,,SpiceJet,E100002014928,3170950,Calicut International Airport,transportation,domestic-aviation
,,,,,,,,,,,,Air India,E100002014292,3172079,Chandigarh International Airport,transportation,domestic-aviation
,,,,,,,,,,,,Alliance Air,E100002014360,3172079,Chandigarh International Airport,transportation,domestic-aviation
,,,,,,,,,,,,IndiGo,E100002014647,3172079,Chandigarh International Airport,transportation,domestic-aviation
