parent_name,parent_entity_id,parent_entity_type,parent_lei,parent_permid,parent_registration_country,parent_headquarter_country,overall_share_percent,ownership_path,ownership_path_datasource_ids,immediate_source_owner,immediate_source_owner_entity_id,source_operator,source_operator_id,source_id,source_name,source_sector,source_subsector
IGH Holdings Pvt Ltd,E100001010419,legal entity,335800E52FQAZNBKW310,5000932187,IND,IND,,IGH Holdings Pvt Ltd -> Hindalco Industries Ltd [15.58%] -> Kujam Mine [unknown %],,Hindalco Industries Ltd,E100000120560,,,42233154,Kujam Mine,mineral-extraction,bauxite-mining
Hindalco Industries Ltd,E100000120560,legal entity,335800KXLE5NO5B4GF90,4295873625,IND,IND,,Hindalco Industries Ltd -> Kujam Mine [unknown %],,Hindalco Industries Ltd,E100000120560,,,42233154,Kujam Mine,mineral-extraction,bauxite-mining
Life Insurance Corporation of India Ltd,E100001000520,legal entity,21380068NOA8WMH89Z35,4298477512,IND,IND,,Life Insurance Corporation of India Ltd -> Hindalco Industries Ltd [9.65%] -> Kujam Mine [unknown %],,Hindalco Industries Ltd,E100000120560,,,42233154,Kujam Mine,mineral-extraction,bauxite-mining
Birla Group Holdings Pvt Ltd,E100001010420,legal entity,335800ILCQTLE8K8I628,5000003697,IND,IND,,Birla Group Holdings Pvt Ltd -> Hindalco Industries Ltd [10.16%] -> Kujam Mine [unknown %],,Hindalco Industries Ltd,E100000120560,,,42233154,Kujam Mine,mineral-extraction,bauxite-mining
natural person(s),E100000123261,person,not applicable,not applicable,,,,natural person(s)  -> Hindalco Industries Ltd [5.16%] -> Kujam Mine [unknown %],,Hindalco Industries Ltd,E100000120560,,,42233154,Kujam Mine,mineral-extraction,bauxite-mining
Essel Mining & Industries Ltd,E100000153045,legal entity,3358006SBGEK8EC3HC67,4296015221,IND,IND,,Essel Mining & Industries Ltd -> IGH Holdings Pvt Ltd [100.0%] -> Hindalco Industries Ltd [15.58%] -> Kujam Mine [unknown %],,Hindalco Industries Ltd,E100000120560,,,42233154,Kujam Mine,mineral-extraction,bauxite-mining
small shareholder(s),E100001015587,unknown entity,not applicable,not applicable,,,,small shareholder(s)  -> Hindalco Industries Ltd [59.45%] -> Kujam Mine [unknown %],,Hindalco Industries Ltd,E100000120560,,,42233154,Kujam Mine,mineral-extraction,bauxite-mining
Aditya Birla Management Corporation Pvt Ltd,E100000120031,legal entity,335800GITXOP4O6TQM65,5000053377,IND,IND,,Aditya Birla Management Corporation Pvt Ltd -> Essel Mining & Industries Ltd [unknown %] -> IGH Holdings Pvt Ltd [100.0%] -> Hindalco Industries Ltd [15.58%] -> Kujam Mine [unknown %],,Hindalco Industries Ltd,E100000120560,,,42233154,Kujam Mine,mineral-extraction,bauxite-mining
Alatge Stone Crushing Industries,E100002011102,,,,,,,Alatge Stone Crushing Industries  -> Kurawade-Maral Mine [unknown %],,Alatge Stone Crushing Industries,E100002011102,,,42233155,Kurawade-Maral Mine,mineral-extraction,bauxite-mining
Bansal Khanij Udyog,E100002011130,,,,,,,Bansal Khanij Udyog  -> Kushiyara Mine [unknown %],,Bansal Khanij Udyog,E100002011130,,,42233156,Kushiyara Mine,mineral-extraction,bauxite-mining
Orient Ceratech Ltd,E100002011101,,,,,,,Orient Ceratech Ltd -> Lamba Mine [unknown %],,Orient Ceratech Ltd,E100002011101,,,42233158,Lamba Mine,mineral-extraction,bauxite-mining
natural person(s),E100000123261,person,not applicable,not applicable,,,,natural person(s)  -> Mahadevia-Gandhvi Mine [unknown %],,natural person(s),E100000123261,,,42233159,Mahadevia-Gandhvi Mine,mineral-extraction,bauxite-mining
Carborundum Universal Ltd,E100002011132,,,,,,,Carborundum Universal Ltd -> Mahadeviya Mine [unknown %],,Carborundum Universal Ltd,E100002011132,,,42233160,Mahadeviya Mine,mineral-extraction,bauxite-mining
Vyaghreshwar Mineral Industrial Producers Coop Soc Ltd,E100002011133,,,,,,,Vyaghreshwar Mineral Industrial Producers Coop Soc Ltd -> Mahalmirya Mine [unknown %],,Vyaghreshwar Mineral Industrial Producers Coop Soc Ltd,E100002011133,,,42233161,Mahalmirya Mine,mineral-extraction,bauxite-mining
Government of India,E100001000397,state,,5000055448,,IND,,Government of India  -> Life Insurance Corporation of India Ltd [96.5%] -> Hindalco Industries Ltd [9.65%] -> Maliparbat Mine [unknown %],,Hindalco Industries Ltd,E100000120560,,,42233162,Maliparbat Mine,mineral-extraction,bauxite-mining
IGH Holdings Pvt Ltd,E100001010419,legal entity,335800E52FQAZNBKW310,5000932187,IND,IND,,IGH Holdings Pvt Ltd -> Hindalco Industries Ltd [15.58%] -> Maliparbat Mine [unknown %],,Hindalco Industries Ltd,E100000120560,,,42233162,Maliparbat Mine,mineral-extraction,bauxite-mining
Hindalco Industries Ltd,E100000120560,legal entity,335800KXLE5NO5B4GF90,4295873625,IND,IND,,Hindalco Industries Ltd -> Maliparbat Mine [unknown %],,Hindalco Industries Ltd,E100000120560,,,42233162,Maliparbat Mine,mineral-extraction,bauxite-mining
Life Insurance Corporation of India Ltd,E100001000520,legal entity,21380068NOA8WMH89Z35,4298477512,IND,IND,,Life Insurance Corporation of India Ltd -> Hindalco Industries Ltd [9.65%] -> Maliparbat Mine [unknown %],,Hindalco Industries Ltd,E100000120560,,,42233162,Maliparbat Mine,mineral-extraction,bauxite-mining
Birla Group Holdings Pvt Ltd,E100001010420,legal entity,335800ILCQTLE8K8I628,5000003697,IND,IND,,Birla Group Holdings Pvt Ltd -> Hindalco Industries Ltd [10.16%] -> Maliparbat Mine [unknown %],,Hindalco Industries Ltd,E100000120560,,,42233162,Maliparbat Mine,mineral-extraction,bauxite-mining
Essel Mining & Industries Ltd,E100000153045,legal entity,3358006SBGEK8EC3HC67,4296015221,IND,IND,,Essel Mining & Industries Ltd -> IGH Holdings Pvt Ltd [100.0%] -> Hindalco Industries Ltd [15.58%] -> Maliparbat Mine [unknown %],,Hindalco Industries Ltd,E100000120560,,,42233162,Maliparbat Mine,mineral-extraction,bauxite-mining
small shareholder(s),E100001015587,unknown entity,not applicable,not applicable,,,,small shareholder(s)  -> Hindalco Industries Ltd [59.45%] -> Maliparbat Mine [unknown %],,Hindalco Industries Ltd,E100000120560,,,42233162,Maliparbat Mine,mineral-extraction,bauxite-mining
