parent_name,parent_entity_id,parent_entity_type,parent_lei,parent_permid,parent_registration_country,parent_headquarter_country,overall_share_percent,ownership_path,ownership_path_datasource_ids,immediate_source_owner,immediate_source_owner_entity_id,source_operator,source_operator_id,source_id,source_name,source_sector,source_subsector
Resona Bank Ltd,E100001016256,legal entity,549300RHQA2HXUOC5Z25,5000007230,JPN,JPN,0.17,Resona Bank Ltd -> Custody Bank of Japan Ltd [16.7%] -> ORIX Corp [8.39%] -> Infrastructure Leasing & Financial Services Ltd [11.86%] -> Cuddalore IL&FS power station [100.0%],"182593,7903",Infrastructure Leasing & Financial Services Ltd,E100000001528,,,25454216,Cuddalore IL&FS power station,power,electricity-generation
Meiji Yasuda Life Insurance Co,E100001011617,legal entity,549300SLU4LP6YMRLK07,4295878049,JPN,JPN,0.23,Meiji Yasuda Life Insurance Co -> The Master Trust Bank of Japan Ltd [10.0%] -> ORIX Corp [19.21%] -> Infrastructure Leasing & Financial Services Ltd [11.86%] -> Cuddalore IL&FS power station [100.0%],"182593,7903",Infrastructure Leasing & Financial Services Ltd,E100000001528,,,25454216,Cuddalore IL&FS power station,power,electricity-generation
Mizuho Financial Group Inc,E100000134222,legal entity,353800CI5L6DDAN5XZ33,4295878505,JPN,JPN,0.27,Mizuho Financial Group Inc -> Custody Bank of Japan Ltd [27.0%] -> ORIX Corp [8.39%] -> Infrastructure Leasing & Financial Services Ltd [11.86%] -> Cuddalore IL&FS power station [100.0%],"182593,7903",Infrastructure Leasing & Financial Services Ltd,E100000001528,,,25454216,Cuddalore IL&FS power station,power,electricity-generation
Norinchukin Bank ,E100001016492,legal entity,5493007VSMFZCPV1NB83,4295878071,JPN,JPN,0.23,Norinchukin Bank  -> The Norinchukin Trust & Banking Co Ltd [100.0%] -> The Master Trust Bank of Japan Ltd [10.0%] -> ORIX Corp [19.21%] -> Infrastructure Leasing & Financial Services Ltd [11.86%] -> Cuddalore IL&FS power station [100.0%],"182593,107506,7903",Infrastructure Leasing & Financial Services Ltd,E100000001528,,,25454216,Cuddalore IL&FS power station,power,electricity-generation
Nippon Life Insurance Co,E100001000382,legal entity,549300Y0HHMFW3EVWY08,4295880569,JPN,JPN,0.76,Nippon Life Insurance Co -> The Master Trust Bank of Japan Ltd [33.5%] -> ORIX Corp [19.21%] -> Infrastructure Leasing & Financial Services Ltd [11.86%] -> Cuddalore IL&FS power station [100.0%],"182593,7903",Infrastructure Leasing & Financial Services Ltd,E100000001528,,,25454216,Cuddalore IL&FS power station,power,electricity-generation
The Dai-ichi Life Insurance Co Ltd,E100000133542,legal entity,3538001235ACEIORUV72,5050714842,JPN,JPN,0.08,The Dai-ichi Life Insurance Co Ltd -> Custody Bank of Japan Ltd [8.0%] -> ORIX Corp [8.39%] -> Infrastructure Leasing & Financial Services Ltd [11.86%] -> Cuddalore IL&FS power station [100.0%],"182593,7903",Infrastructure Leasing & Financial Services Ltd,E100000001528,,,25454216,Cuddalore IL&FS power station,power,electricity-generation
Asahi Mutual Life Insurance Co,E100001016257,legal entity,549300ZTKF2W3KCEJ782,4295880659,JPN,JPN,0.05,Asahi Mutual Life Insurance Co -> Custody Bank of Japan Ltd [5.0%] -> ORIX Corp [8.39%] -> Infrastructure Leasing & Financial Services Ltd [11.86%] -> Cuddalore IL&FS power station [100.0%],"182593,7903",Infrastructure Leasing & Financial Services Ltd,E100000001528,,,25454216,Cuddalore IL&FS power station,power,electricity-generation
Mitsubishi UFJ Financial Group Inc,E100001016498,legal entity,353800V2V8PUY9TK3E06,5000000933,JPN,JPN,1.06,Mitsubishi UFJ Financial Group Inc -> Mitsubishi UFJ Trust and Banking Corp [100.0%] -> The Master Trust Bank of Japan Ltd [46.5%] -> ORIX Corp [19.21%] -> Infrastructure Leasing & Financial Services Ltd [11.86%] -> Cuddalore IL&FS power station [100.0%],"182593,107506,7903",Infrastructure Leasing & Financial Services Ltd,E100000001528,,,25454216,Cuddalore IL&FS power station,power,electricity-generation
IL&FS Employees Welfare Trust ,E100001010782,legal entity,not found,5000932196,IND,ISL,12.0,IL&FS Employees Welfare Trust  -> Infrastructure Leasing & Financial Services Ltd [12.0%] -> Cuddalore IL&FS power station [100.0%],,Infrastructure Leasing & Financial Services Ltd,E100000001528,,,25454216,Cuddalore IL&FS power station,power,electricity-generation
The Norinchukin Trust & Banking Co Ltd,E100001016126,legal entity,353800KATW3NT9UZ7C55,5000030180,JPN,JPN,0.23,The Norinchukin Trust & Banking Co Ltd -> The Master Trust Bank of Japan Ltd [10.0%] -> ORIX Corp [19.21%] -> Infrastructure Leasing & Financial Services Ltd [11.86%] -> Cuddalore IL&FS power station [100.0%],"182593,7903",Infrastructure Leasing & Financial Services Ltd,E100000001528,,,25454216,Cuddalore IL&FS power station,power,electricity-generation
Abu Dhabi Investment Authority ,E100000001077,state body,J1Y4PL5OEWM2K0OMTW95,4298162285,,ARE,12.56,Abu Dhabi Investment Authority  -> Infrastructure Leasing & Financial Services Ltd [12.56%] -> Cuddalore IL&FS power station [100.0%],,Infrastructure Leasing & Financial Services Ltd,E100000001528,,,25454216,Cuddalore IL&FS power station,power,electricity-generation
Central Bank of India ,E100001010784,legal entity,335800HLI3VBT9FVQE81,4295872558,IND,IND,7.67,Central Bank of India  -> Infrastructure Leasing & Financial Services Ltd [7.67%] -> Cuddalore IL&FS power station [100.0%],,Infrastructure Leasing & Financial Services Ltd,E100000001528,,,25454216,Cuddalore IL&FS power station,power,electricity-generation
HDFC Bank Ltd,E100002009055,legal entity,335800ZQ6I4E2JXENC50,4295873232,IND,IND,9.02,HDFC Bank Ltd -> Infrastructure Leasing & Financial Services Ltd [9.02%] -> Cuddalore IL&FS power station [100.0%],,Infrastructure Leasing & Financial Services Ltd,E100000001528,,,25454216,Cuddalore IL&FS power station,power,electricity-generation
ORIX Corp,E100000120972,legal entity,35380016EMHNBOVYE123,4295876581,JPN,JPN,11.86,ORIX Corp -> Infrastructure Leasing & Financial Services Ltd [11.86%] -> Cuddalore IL&FS power station [100.0%],,Infrastructure Leasing & Financial Services Ltd,E100000001528,,,25454216,Cuddalore IL&FS power station,power,electricity-generation
Aarti Steels Ltd,E100000120022,legal entity,335800KRUOA5TLT2JK72,4298174620,IND,IND,100.0,Aarti Steels Ltd -> Cuttack Works power station [100.0%],,Aarti Steels Ltd,E100000120022,,,25455072,Cuttack Works power station,power,electricity-generation
Government of India ,E100001000397,state,,5000055448,,IND,44.2,Government of India  -> NTPC Ltd [51.1%] -> Ratnagiri Gas and Power Pvt Ltd [86.49%] -> DABHOL [100.0%],"117600,117601,108408",Ratnagiri Gas and Power Pvt Ltd,E100000001936,,,447750,DABHOL,power,electricity-generation
NTPC Ltd,E100000001926,legal entity,335800Q4TRGJXNLVMB81,4295874173,IND,IND,86.49,NTPC Ltd -> Ratnagiri Gas and Power Pvt Ltd [86.49%] -> DABHOL [100.0%],,Ratnagiri Gas and Power Pvt Ltd,E100000001936,,,447750,DABHOL,power,electricity-generation
State of Maharashtra ,E100002003036,state,,5000067110,,IND,13.51,State of Maharashtra  -> MSEB Holding Co Ltd [100.0%] -> Ratnagiri Gas and Power Pvt Ltd [13.51%] -> DABHOL [100.0%],"108408,117601",Ratnagiri Gas and Power Pvt Ltd,E100000001936,,,447750,DABHOL,power,electricity-generation
small shareholder(s) ,E100001015587,unknown entity,not applicable,not applicable,,,42.29,small shareholder(s)  -> NTPC Ltd [48.9%] -> Ratnagiri Gas and Power Pvt Ltd [86.49%] -> DABHOL [100.0%],"117600,117601,108408",Ratnagiri Gas and Power Pvt Ltd,E100000001936,,,447750,DABHOL,power,electricity-generation
MSEB Holding Co Ltd,E100001011211,legal entity,not found,5000022134,IND,IND,13.51,MSEB Holding Co Ltd -> Ratnagiri Gas and Power Pvt Ltd [13.51%] -> DABHOL [100.0%],,Ratnagiri Gas and Power Pvt Ltd,E100000001936,,,447750,DABHOL,power,electricity-generation
Government of India ,E100001000397,state,,5000055448,,IND,51.1,Government of India  -> NTPC Ltd [51.1%] -> DADRI [100.0%],,NTPC Ltd,E100000001926,,,448679,DADRI,power,electricity-generation
NTPC Ltd,E100000001926,legal entity,335800Q4TRGJXNLVMB81,4295874173,IND,IND,100.0,NTPC Ltd -> DADRI [100.0%],,NTPC Ltd,E100000001926,,,448679,DADRI,power,electricity-generation
small shareholder(s) ,E100001015587,unknown entity,not applicable,not applicable,,,48.9,small shareholder(s)  -> NTPC Ltd [48.9%] -> DADRI [100.0%],,NTPC Ltd,E100000001926,,,448679,DADRI,power,electricity-generation
Oil and Natural Gas Corporation Ltd,E100000000524,legal entity,335800FPDZ9MRSNO7N41,4295872684,IND,IND,49.36,Oil and Natural Gas Corporation Ltd -> ONGC Petro additions Ltd [49.36%] -> DAHEJ OPAL [100.0%],,ONGC Petro additions Ltd,E100000003681,,,452077,DAHEJ OPAL,power,electricity-generation
Government of India ,E100001000397,state,,5000055448,,IND,29.07,Government of India  -> Oil and Natural Gas Corporation Ltd [58.89%] -> ONGC Petro additions Ltd [49.36%] -> DAHEJ OPAL [100.0%],"106867,2316",ONGC Petro additions Ltd,E100000003681,,,452077,DAHEJ OPAL,power,electricity-generation
Life Insurance Corporation of India Ltd,E100001000520,legal entity,21380068NOA8WMH89Z35,4298477512,IND,IND,4.78,Life Insurance Corporation of India Ltd -> Oil and Natural Gas Corporation Ltd [9.69%] -> ONGC Petro additions Ltd [49.36%] -> DAHEJ OPAL [100.0%],"106867,2316",ONGC Petro additions Ltd,E100000003681,,,452077,DAHEJ OPAL,power,electricity-generation
Oil India Ltd,E100000153028,legal entity,335800XXEP14XISP1A16,4296617304,IND,IND,0.2,Oil India Ltd -> Indian Oil Corporation Ltd [5.16%] -> Oil and Natural Gas Corporation Ltd [7.84%] -> ONGC Petro additions Ltd [49.36%] -> DAHEJ OPAL [100.0%],"106881,105507,2316,106867,114206",ONGC Petro additions Ltd,E100000003681,,,452077,DAHEJ OPAL,power,electricity-generation
small shareholder(s) ,E100001015587,unknown entity,not applicable,not applicable,,,1.43,small shareholder(s)  -> ONGC Petro additions Ltd [1.43%] -> DAHEJ OPAL [100.0%],,ONGC Petro additions Ltd,E100000003681,,,452077,DAHEJ OPAL,power,electricity-generation
GAIL Ltd,E100000000513,legal entity,335800N82LJD42ZA5L32,4295873202,IND,IND,49.21,GAIL Ltd -> ONGC Petro additions Ltd [49.21%] -> DAHEJ OPAL [100.0%],,ONGC Petro additions Ltd,E100000003681,,,452077,DAHEJ OPAL,power,electricity-generation
Indian Oil Corporation Ltd,E100000001918,legal entity,335800J8OBWE4VFUDG88,4295872661,IND,IND,3.87,Indian Oil Corporation Ltd -> Oil and Natural Gas Corporation Ltd [7.84%] -> ONGC Petro additions Ltd [49.36%] -> DAHEJ OPAL [100.0%],"106867,2316",ONGC Petro additions Ltd,E100000003681,,,452077,DAHEJ OPAL,power,electricity-generation
small shareholder(s) ,E100001015587,unknown entity,not applicable,not applicable,,,,small shareholder(s)  -> DCM Shriram Ltd [30.21%] -> DCM HARIAWAN SUGAR [unknown %],,DCM Shriram Ltd,E100000120295,,,4407211,DCM HARIAWAN SUGAR,power,electricity-generation
Government of India ,E100001000397,state,,5000055448,,IND,,Government of India  -> Life Insurance Corporation of India Ltd [96.5%] -> DCM Shriram Ltd [6.76%] -> DCM HARIAWAN SUGAR [unknown %],11195,DCM Shriram Ltd,E100000120295,,,4407211,DCM HARIAWAN SUGAR,power,electricity-generation
DCM Shriram Ltd,E100000120295,legal entity,335800SU1CJ59TE5RJ45,4295872842,IND,IND,,DCM Shriram Ltd -> DCM HARIAWAN SUGAR [unknown %],,DCM Shriram Ltd,E100000120295,,,4407211,DCM HARIAWAN SUGAR,power,electricity-generation
Sumant Investments Pvt Ltd,E100001011022,legal entity,not found,5035491393,IND,IND,,Sumant Investments Pvt Ltd -> DCM Shriram Ltd [63.03%] -> DCM HARIAWAN SUGAR [unknown %],,DCM Shriram Ltd,E100000120295,,,4407211,DCM HARIAWAN SUGAR,power,electricity-generation
Life Insurance Corporation of India Ltd,E100001000520,legal entity,21380068NOA8WMH89Z35,4298477512,IND,IND,,Life Insurance Corporation of India Ltd -> DCM Shriram Ltd [6.76%] -> DCM HARIAWAN SUGAR [unknown %],,DCM Shriram Ltd,E100000120295,,,4407211,DCM HARIAWAN SUGAR,power,electricity-generation
Torrent Power Ltd,E100000001941,legal entity,335800DJYYJQGAH3OX89,,IND,IND,100.0,Torrent Power Ltd -> DGEN Mega Combined Cycle power plant [100.0%],,Torrent Power Ltd,E100000001941,,,25453336,DGEN Mega Combined Cycle power plant,power,electricity-generation
